,text,types of fallacy
935,"God is an incoherent concept.Hence, it is true that God cannot be the material cause of the Universe, being immaterial.",['fallacy of extension']
1104,"Video games can be useful to learn about history, society, economics or other aspects important to life.Hence, it is true that The Civilization series teaches about the names of cities, wonders and ancient civilizations and their leaders.",['fallacy of relevance']
1113,"Mother Teresa should not have been canonized.Hence, it is true that The evidence provided for her ""miracles"" is questionable.","['false causality', 'fallacy of logic']"
407,"Even assuming that spending is speech, the Bipartisan Campaign Reform Act \(BCRA\) - the law which Citizens United partially struck down - did not significantly restrict free speech.Hence, it is not true that Even if the BCRA did not heavily restrict free speech, it still restricted it to some degree, causing it to qualify as a violation of the First Amendment.",['fallacy of extension']
1198,"The Book of Mormon is an authentic and historical document.Hence, it is true that Millions of people around the world with different backgrounds have prayed and received confirmation from God through promptings of the holy ghost that the Book of Mormon is true.",['circular reasoning']
906,"God is what allows us to derive the concept of the unobservable 'way things should be' from the observable 'way things are'.Hence, it is true that This is Hume's is/ought distinction. To justify how things ""ought"" to be, you need something other than what currently ""is"".",['fallacy of logic']
238,"The children of the poor will remain at a disadvantage because they cannot afford enhancements. This means that poverty will be entrenched for generations to come.Hence, it is true that This will literally make it so that the rich are genetically superior than the poor, not only entrenching stereotypes but making them real.",['fallacy of credibility']
1088,"The previous leader of Israel, Benjamin Netanyahu, made it clear that there would never be an independent Palestinian nation as long as he was in power; this may have worsened the situation in the region.Hence, it is true that Even with Netanyahu ousted, the new political coalition is unlikely(With the first test completed, the coalition – which brings together religious, secular, nationalist, leftist, centrist and Arab parties – now has to prove it can overcome its internal contradictions and differences to govern Israel.\n\nThe plan, hashed out in the days before the vote on Sunday night, will see the new government focus on internal issues and righting the economy after the Covid-19 pandemic.\n\nContentious issues, such as the Arab-Israeli peace process, will be put on the back burner, even as Egypt tries to broker a lasting ceasefire after an 11-day conflict in May between Israel and Hamas in Gaza.) to prioritise Palestine and independence.",['fallacy of logic']
296,"Because of the existence of evil, there cannot be a monotheistic God \(as traditionally conceived\).Hence, it is not true that God allows evil to exist so that humans can have free will and develop into moral people. In order to be morally good in a meaningful way, a person must have the possibility of choosing evil.",['fallacy of credibility']
770,"A culture of political correctness paves the way for authoritarianism.Hence, it is true that If the government becomes the arbiter of what's considered ""correct speech"", it will use that power for self-preservation, as authoritarian governments have throughout history.","['faulty generalization', 'fallacy of logic']"
470,"Whilst playwrights of other nations were better received, British playwrights were generally regarded as having little talent.Hence, it is true that In 1612, Sir Thomas Bodley, the founder of the famous Bodleian Library argued that ''some plays may be worth the keeping, but hardly one in forty.''",['fallacy of logic']
776,"A non-monetary economy would be ideal.Hence, it is not true that Social hierarchies would be abandoned, and so would traditional family values.",['fallacy of credibility']
763,"Ruthless governments use racist or antisemitic tropes to make the general population more passive to actions against ethnic and religious groups. Political correctness attempts to prevent such things from happening again by denouncing governments and political parties who do that.Hence, it is not true that If political correctness only concerned itself with denouncing racist political parties, there wouldn't need to be a discussion about it. But PC goes far beyond that in our current political climate, which is the problem.",['circular reasoning']
466,"Unlike politics, the aim of science is neither influence nor control.Hence, it is not true that Once science generates knowledge of what 'is', then it has to figure out what 'ought' to be done with it \(e.g., generate implications for future research or practice\). The 'ought' is where science becomes political. \(Hume\)",['fallacy of credibility']
866,"Billions of people all over the world today and historically the overwhelming majority feel they have witnessed, felt, or experienced sufficient proof to satisfy them enough to accept God's existence.Hence, it is not true that There are numerous reasons of why people believe in God, and some of them haven't anything to do with proofs: family pressure, wishful thinking that death isn't the end of life, indoctrination, just because they ""feel it"", agent detection, etc.",['circular reasoning']
987,"There are valid ways we can know God exists.Hence, it is true that People claim a personal experience with God. Therefore, God exists.",['circular reasoning']
943,"The parent does nothing to change the reality that some things are really right and some are really wrong. The reality that some individuals moral intuitions are better or worse than others does not change the fact that in reality we sense objective moral values and duties.Hence, it is true that Rape, torture, and child abuse aren’t just socially unacceptable behavior -  they are moral abominations. Love, generosity, and self-sacrifice aren’t just socially acceptable behavior - they are really good.",['appeal to emotion']
867,"A logically coherent supernatural event is an oxymoron.Hence, it is true that The word supernatural means that something is beyond the forces of nature. Logically coherent means that something is logical in nature thus explainable. A logical coherent supernatural event can not exist as it would just be a natural event.",['circular reasoning']
503,"The Russians were always likely to reach out and try to collude with the Trump campaign, but this doesn't mean that the Trump campaign wanted to or reciprocated.Hence, it is not true that Trump publicly invited Russia to hack into his opponent’s email in July of 2016.",['intentional']
107,"There are severe barriers to specifying who should be entitled to reparations, and what form reparations would take.Hence, it is true that If reparations are meant to compensate those who suffered from slavery, they should also be given to the descendants of the Union soldiers who were harmed or killed in the fight against slavery.",['faulty generalization']
377,"Black students are more likely to be suspended for the same behavior.Hence, it is not true that This does not mean that punishment was not justified, nor does it mean that whites children's misbehavior was overlooked.",['affirming the consequent']
70,"The evolution of human beings as a group has been scientifically proven thanks to the study of biology.Hence, it is true that Thanks to human evolution we know now how people originated from apelike ancestors, which means that humans evolved as a group.",['fallacy of logic']
802,"Attempting to assassinate the president of a country where presidents serve four-year terms does not merit twice the sentence of an assassination attempt on the president of a country where presidents serve two-year terms. The very idea is absurd. Hence, this infinity is irrelevant.Hence, it is not true that In either case, the crime of treason merits a maximum penalty. The state can’t trust a traitor.",['faulty generalization']
1048,"Steroid Use in Sports Should Be Allowed.Hence, it is not true that This would allow athletes to use drugs which are illegal for the general population.",['fallacy of logic']
390,"Atheism does not require justification. Theism requires justification and has not been justified.Hence, it is not true that Some people would contend that whenever a minority disagrees with a majority, it is incumbent upon the minority to show why the majority is wrong. Since Atheism is a minority, it would be up to them to offer justification.",['ad populum']
424,"Identity politics can foster more punitive and less tolerant policies.Hence, it is true that Identity politics advocates often support restrictions of free speech \(p. 99-100(The scholarly debate over campus hate speech codes is most often\ncharacterized as a clash of absolutes, a conflict between two irreconcilable moral and political visions. On one side are the so-called “free speech absolutists,” who reject hate speech restrictions on campuses and elsewhere based on their incompatibility with fundamental precepts of liberal democracy and individual autonomy. On the other side are critical race theorists and antipornography feminists who argue that hate speech both creates and perpetuates a poisonous social atmosphere in which minorities and women are unable to realize genuine equality of citizenship. Too often, and ironically in the context of a debate about the appropriate contours of the First Amendment’s protection of freedom of speech, it seems as though the two sides are talking past one another rather than engaging in anything resembling a constructive dialogue.)\).",['fallacy of credibility']
1019,"Journalists have a moral obligation to display violent images.Hence, it is not true that Journalists have an obligation to do no harm.",['faulty generalization']
333,"The credibility of the Book of Mormon witnesses is lessened by the fact that they were mostly related to one another, making them less independent sources.Hence, it is not true that To imply that someone is unreliable simply because of who they are related to is an ad hominem attack.",['ad hominem']
1058,"Joe Biden is a good president.Hence, it is not true that Biden has not introduced policies that are sufficiently radical to tackle the problems facing America today.",['faulty generalization']
435,"Pastafarianism is a religion.Hence, it is not true that It is clear to everyone that Pastafarianism is sarcasm and therefore it cannot get the same rights as religions that were oppressed for a long time.",['ad populum']
1145,"Society should treat criminals as people with free will(free will, in philosophy and science, the supposed power or capacity of humans to make decisions or perform actions independently of any prior event or state of the universe. Arguments for free will have been based on the subjective experience of freedom, on sentiments of guilt, on revealed religion, and on the common assumption of individual moral responsibility that underlies the concepts of law, reward, punishment, and incentive. In theology, the existence of free will must be reconciled with God’s omniscience and benevolence and with divine grace, which allegedly is necessary for any meritorious act. A prominent feature of existentialism is the concept of a radical, perpetual, and frequently agonizing freedom of choice. Jean-Paul Sartre \(1905–80\), for example, spoke of the individual “condemned to be free.”) who choose to commit crimes.Hence, it is true that Forced rehabilitation reduces inmates to problems that need to be solved through invasively changing their personality(Drugs and alcohol change the brain and therefore, our personalities often change when we use them. During active addiction, our brains prioritize our substance\(s\) of choice over pretty much everything else. In the past, we might have prioritized school, family, our careers, our happiness and health, and our relationships. However, addiction jostles up our value system so much that our loved ones begin to wonder where the “real” person has gone. The addiction clouded our personality and true essence. We might experience heightened fatigue, secrecy, manipulative tendencies, selfishness, paranoia, laziness, mood swings, high-risk behavior, and many other changes to our personality. The list goes on and on.), while punishment treats them as human beings who can take responsibility for their actions.",['appeal to emotion']
728,"The world will become significantly more honest and transparent.Hence, it is true that Lying in general will become extremely rare and risky as it can be easily noticed and verified. As a result most forms of cheating or deception will disappear.",['intentional']
1192,"Many people manage to successfully hold beliefs about the world derived from both scientific and religious methods. This suggests that both methods are compatible approaches to truth.Hence, it is true that Historically, many religious people, religious institutions, and value systems have played a role in scientific progress.",['ad hominem']
641,"Suffering may be inextricably tied to far greater good things, the loss of which would not be worth the abolition of suffering.Hence, it is not true that An all powerful God does not need suffering to achieve any other goal than suffering itself, if he does then he is not all powerful.",['fallacy of logic']
744,"In the case of circumcision, the context is an important religious procedure and / or something which may bring health benefits to the child. In both instances, these are positive contexts and intentions.Hence, it is true that The choice to circumcise is a religious right.",['faulty generalization']
1082,"There is no evidence that a material effect can emanate from a non-material cause.Hence, it is not true that The universe itself can be considered 'evidence' that a material effect can emanate from a non-material singularity.",['circular reasoning']
118,"Drug addictions are rooted in preexisting mental health problems.Hence, it is not true that Addiction is a condition in its own right. Pretending it is symptomatic of an underlying mental health issue would divert attention and treatment from the addiction.",['appeal to emotion']
336,"Islamic epistemology is consistent with our observations.Hence, it is not true that Atheism better agrees with our observation, in that there is no decent observable evidence for supernatural propositions such as God, souls, et cetera; some scripture quotes ranting about the wrath of God does not suffice.",['fallacy of extension']
154,"Gender stereotyping can be damaging to brands. Challenging traditional gender boundaries will create more effective advertisements and prove beneficial to companies.Hence, it is true that Gendered social roles have been blurred over the past couple of decades. By falling back on gender stereotypes, brands no longer depict a world that consumers recognize, so they are less likely to resonate or engage with the product.",['fallacy of credibility']
992,"The burden of proof in relation to the parent is on the one trying to prove that God and evil cannot possibly coexist. One must demonstrate that God could not for any reason have a justifiable reason for allowing the amount of evil we observe in the universe. This is a burden of proof that is impossible to bear for one would have to be omniscient to bear it.Hence, it is not true that Surely, by this logic, any knowledge of God requires omniscience, which no person has. In which case the burden of proof is on the party prescribing attributes to a creature that is unknowable without omniscience.",['tu quoque']
600,"To claim that Quranic and Islamic arguments are circular based on unexamined generalizations about one or some religions it to commit the strawman fallacy by misrepresenting Islam.Hence, it is not true that If the truth of the Quran relies upon God and the existence of God relies upon the veracity of the Quran, then Quranic arguments are circular in similar ways that other Abrahamic religions are circular.",['fallacy of credibility']
200,"That men are inferior is often spoken by feminists.Hence, it is true that ""The male is a domestic animal which, if treated with firmness...can be trained to do most things."" Jilly Cooper, SCUM \(Society For Cutting Up Men.\)",['fallacy of credibility']
1090,"Israelis have a strong religious claim to Palestinian land; recognising Palestine would require giving up the land which is illegitimate.Hence, it is not true that Religious claims should not be seen as legitimate as Israel does enforce Jewish law.",['intentional']
1193,"Protesting in front of abortion clinics should be prohibited.Hence, it is not true that If protest free zones are enabled in front of abortion clinics, the ruling may be used in other situations to prevent protests from taking place for similar reasons regardless of severity.",['faulty generalization']
136,"Those outside the gender binary benefit from a third gender option.Hence, it is not true that Grouping an array of non-binary identities together may hinder younger individuals from identifying and understanding their true specific gender identity.",['faulty generalization']
882,"School uniforms are expensive.Hence, it is true that The Department for Education \(DfE\) found that school uniforms cost almost £230 per pupil in 2019, when data from a 2015 study was adjusted for inflation.",['faulty generalization']
50,"Societies have often disagreed about the correct way to carry out or weigh certain values, but many values are universally recognised to be important to some degree.Hence, it is true that The vast majority of people and human societies have viewed killing innocent civilians in peacetime as wrong.",['ad populum']
626,"Belief in God is produced in a way that violates no epistemic duty in believing and so is justified. Justification involves obedience to one’s epistemic duties or possession of a sound noetic structure of beliefs.Hence, it is true that Man has a sensus divinitatis \(sense of divinity\) that grounds \(justifies\) belief in God by the appropriate circumstances making it properly basic. Alvin Plantinga speaks of sensus divinitatis as “a disposition or set of dispositions to form theistic beliefs in various circumstances or stimuli that trigger the working of this sense of divinity.”",['circular reasoning']
753,"Violence cannot be right, because it's almost always an expression of the ego, thus using violence means you're succumbing to your emotions instead of listening to reason.Hence, it is true that Only the weak make use of violence.",['affirming the consequent']
884,"School uniforms enforce stereotypes and gender roles.Hence, it is not true that Many school uniforms look nearly the same for girls and boys.","['fallacy of credibility', 'faulty generalization']"
594,"According to Islam, natural laws are a disguise in relation to Allah’s ability and order. He, in line with Islamic narratives, gave this miracle to Mohammed and the people alive at his time, but included others only in the miracle of the Quran.Hence, it is true that If Allah declared the splitting of the moon to be visible to the Arabs of mecca, but not for the masses of people in later ages, it would follow that Allah would consequentially make the evidence of this physical miracle be hidden.",['circular reasoning']
1026,"An individual’s reputation can be used to provide context and weight to their contributions.Hence, it is not true that 'Reputation' is a very spurious way to establish somebody's credentials.",['fallacy of credibility']
241,"Trump declared war on 'fake news', his term for anyone that criticised him or his policies. This is the hallmark of a dictator.Hence, it is not true that Trump tweeted that he had no interest in censoring any news outlets; he was simply criticising them, something which his freedom of speech gives him a right to do.",['ad hominem']
757,"'Bad feelings' are not off the table. The point is that inflammatory language prevents meaningful dialogue by inciting emotion at the expense of reason. The point of PC is to force people to use language which communicates the ideas, but prevents them from using language which will cause the people who disagree with them to react emotionally to an attack instead of attempting to understand and debate ideas.Hence, it is not true that There is no consensus on what constitutes political correctness. Therefore, any speech could be considered potentially unacceptable.",['faulty generalization']
950,"A mind is the only plausible explanation. All other explanations would either exist as a part of the universe and therefore require an explanation, or wouldn’t stand in causal relationships because they are abstract. Therefore, Occams’s razor doesn’t apply because there is no simpler explanation available that is plausible.Hence, it is not true that Argument from ignorance./""You can't explain that"" fallacy. That we do not know the explanation doesn't make it proper to assume ""God did it"".",['false causality']
98,"Violence against women is the targeting of women for violence based on or related to their gender, and is therefore a hate crime. It is not violence that happens to a woman regardless of the reason, as not all violence is a hate crime.Hence, it is not true that Domestic abuse is a hate crime when it is against women, but is not when it is against men? That is not reasonable.",['fallacy of extension']
1118,"A being that could exist ought to be brought into existence, as its life would be morally better to its non-life.Hence, it is not true that It is meaningless to discuss the ""life"" of nothing at all. Nothing is not something and cannot have properties like a potential life.",['fallacy of extension']
969,"P1: It is self-evident that everything that exists has an explanation of its existence, either in the necessity of its own nature or in an external cause. Imagine that you’re hiking through the woods and you come across a translucent ball lying on the forest floor. No one would take seriously the suggestion that the ball existed there with literally no explanation.Hence, it is not true that It is true that everything in the universe has an explanation of its existence, but this is not true of the universe itself. The universe has no explanation.",['faulty generalization']
898,"Countries like the UK had political reasons to race ahead in vaccination rollout, regardless of the risk.Hence, it is true that Over a dozen European countries chose to pause the rollout until there had been further research; those countries who did not suspend the rollout could be construed as reckless.",['appeal to emotion']
678,"The complexity and precision found in nature and in living organisms indicate God's existence as the creator of all things.Hence, it is true that If we apply inference to the best hypothesis to an attempt to explain the origin of the complex specified digital information found in DNA we find an intelligent mind is the only cause for which we have observational experience as minds are known to create information.","['false causality', 'false dilemma', 'circular reasoning', 'fallacy of logic']"
451,"Assuming you mean the scriptures containing prophecy that predates Jesus, Luke 18:34 informed us that ""The disciples did not understand any of this. Its meaning was hidden from them, and they did not know what he was talking about."" So if that is true, it would be more than reasonable to prepare a dead Jesus for a tomb in the manner that they did.Hence, it is not true that This verse may not be accurate. That is, there may have actually have been some disciples who predicted Jesus would rise on the third day, even if the gospels deny this.",['false causality']
1121,"Appeals to tradition are compelling and convincing.Hence, it is true that Justices Neil Gorsuch and Brett Kavanaugh, have indicated that tradition informs their understanding of constitutional meaning.",['fallacy of credibility']
583,"The information posted online by white supremacists can be used for counterterrorism operations against groups that are deemed a threat, or to investigate crimes.Hence, it is true that Surveillance of terrorist organizations' Facebook and Twitter activities provides intelligence agencies with valuable access to their digital footprints, which provides information about the group's tactics, members, and sympathizers.",['fallacy of relevance']
83,"Astrology is a fun practice which brings joy and entertainment to people's lives.Hence, it is true that The persistence of astrology over the years suggests that it adds value to people's lives.","['fallacy of credibility', 'fallacy of relevance']"
848,"Free will and determinism are not mutually exclusive because freedom and weak forms of determinism are compatible(Compatibilism offers a solution to the free will problem, which concerns a disputed incompatibility between free will and determinism. Compatibilism is the thesis that free will is compatible with determinism. Because free will is typically taken to be a necessary condition of moral responsibility, compatibilism is sometimes expressed as a thesis about the compatibility between moral responsibility and determinism.).Hence, it is not true that Compatibilists often abridge the concept of free will.",['fallacy of extension']
405,"The intuitions point to something absurd and hence should be doubted or rejected.Hence, it is true that If morality were objective, it would mean that moral terms had no meaning.",['appeal to emotion']
634,"The problem of evil implies that God does not exist.Hence, it is not true that Evil is a privation of Good, and does not exist in its own right. Thus God does not co-exist with evil.",['fallacy of logic']
694,"The concept of batman offers few obvious evolutionary benefits, and is therefore unlikely to have arisen from a universe without a batman. Very few people would argue this means Batman must exist.Hence, it is not true that Belief in God is intrinsic to human psychology and fundamentally instinctual, implying a genetic/structural component.",['fallacy of extension']
61,"It is the parents who are responsible for the health and well-being of their children, thus a vaccination should be their call and not forced upon them by the state.Hence, it is not true that Many children will, at a later stage, wish that they had received the vaccination, especially if they suffer from adverse affects of the virus. The state should therefore pre-emptively vaccinate young girls.",['fallacy of logic']
146,"Privatization will lead to worse health outcomes for patients.Hence, it is true that Privatisation will lead to worse patient care.",['intentional']
400,"If someone who initially doesn't believe in God can be justified in believing this, they won't believe that God is necessary for objective moral facts to exist.Hence, it is true that If one can be an atheist and accept that objective moral facts exist, then such an atheist will not accept the second premise, that if God doesn't exist, objective moral facts don't exist.",['circular reasoning']
661,"It is true that most mutations are not beneficial; some are harmful, many have no apparent effect, but occasionally some are good. It happens with sets of genes that have been mutating in parallel as well.Hence, it is true that From a sheer volume of evidence standpoint, there is no other theory in science that even comes remotely close to having the the amount and variety of supporting evidence that evolution has.",['fallacy of logic']
162,"Violence between criminal rivals may increase with the legalisation of drugs, as gangs may use more violence against each other to compete for dwindling power and profits.Hence, it is true that Increased violence between gangs tends to be predicted(The Times says Walton predicts a “drugs war fuelled by social restrictions imposed to fight the virus”.\n\nThe report explains that a reduced demand for some illegal drugs “may cause an increase in intergang rivalry faced with dwindling revenue streams, resulting in increased violence”.) by experts wherever there is reduced demand for illegal drugs.",['fallacy of logic']
761,"The Nazis' ideas got out in the open where they could be combated. However, they got elected after that.Hence, it is not true that The Nazis’ ideas could emphatically not be openly challenged - due to some of the most extreme political censorship of free speech in history. This is a compelling lesson to not censor speech if ever one existed.",['equivocation']
59,"This fundamentally claims that intelligent people should have more rights that less intelligent people, which is a deplorable way to view humanity.Hence, it is not true that Public facilities and privileges are often privy to barriers. For example, a person only has the right to go to a state college if they score high enough on their SATs.",['faulty generalization']
306,"PastafarianismHence, it is not true that Pastafarianism was created in 2005 by Bobby Henderson, a 25-year-old, unemployed physics graduate from Oregon.","['ad hominem', 'fallacy of logic']"
3,"The phrase #AllLivesMatter is deliberately designed to derail the conversation about racial equality in the USA.Hence, it is true that All Lives Matter is a movement in direct response to Black Lives Matter, and thus All Lives Matter serves as an argument against Black Lives Matter.",['fallacy of extension']
1011,"Science does not distinguish between micro and macro evolution. It's the same thing.Hence, it is not true that To not distinguish between the 2 is an equivocation fallacy. By this sly linguistic trick the use of words is muddied to the point where proof of something minor is taken to be proof of something dramatic, simply because the same word is used for both.",['equivocation']
759,"Many people know what political correctness is, it's just that anti-PC groups lie about what political correctness is to deceive people who don't check for themselves into believing a fallacy.Hence, it is not true that ""Political Correctness"" was not adopted from within a particular group, but is a term coined from without. By its nature, PC is not meant to be complimentary. Contrast this with the ""Black Panthers"", whose name is adopted to represent their beliefs.",['fallacy of extension']
945,"This is a false dilemma because there is a third alternative, namely, God wills something because He is good. God’s own nature is the standard of goodness, and His commandments to us are expressions of His nature. Our moral duties are determined by the commands of a just and loving God.Hence, it is not true that This means that if God were to command child abuse, we would be obligated to abuse our children.",['false dilemma']
676,"It's possible that the constants actually have only one possible value, which would mean the universe couldn't be tuned for life or anything elseHence, it is true that As far as we know, the universal constants are constant. There is absolutely no evidence to suggest any other value is possible. Therefore, variations are not probable",['fallacy of logic']
1063,"In comparison to the charisma of his counterpart, Boris Johnson, and the strong personality of his predecessor, Jeremy Corbyn, Starmer appears boring and unrelatable.Hence, it is not true that In an age of political upheaval, seeking leadership that combats the caricaturisation of politics is wise. Both Corbyn(The newspapers also made much of how ‘ordinary’ Corbyn’s habits and behaviours were in contrast to the ambitious and elitist Westminster political stereotype. He was described as “opting for a bicycle instead of a car” \(Sun, 16/08/15\) and “taking the night bus home from a rally, no chauffeur-driven car” \(Guardian, 11/09/15\).) and Johnson(There is also a deep ambiguity and nihilism to his subversive clown persona which borders on the malignant. Indeed, sometimes, very disconcertingly, it resembles the Joker – the flamboyant super villain of the Batman movies. Like the Joker, the Bo-Jo clown is mercurial and ephemeral with no long-term strategic goal other than to take control at any cost.) have become memetic representations of their parties.",['fallacy of credibility']
1050,"The combined weight of three things that carry no weight is nothing. There is no credible source willing to lend their name to the rumours, yet plenty of respectable people who have said on the record that they do not recognise the anonymous descriptions.Hence, it is not true that Bob Woodward is a Pulitzer prize wining journalist, who has published 18 political books. Alll 18 have been national bestsellers and 12 of them have been No. 1 national nonfiction bestsellers—more No. 1 national nonfiction bestsellers than any contemporary author. He was one of two journalists that did most of the investigation and reporting on the Watergate Scandal. Woodward himself has been a recipient of nearly every major American journalism award. This gives his words weight.",['fallacy of credibility']
651,"Consider two identical universes, one with God and the other without. If no distinction can be made between the two universes, then the existence of a deity does not hold any explanatory power.Hence, it is not true that Positing the existence of an otherwise identical Godless reality to show that God is not necessary in our reality is a circular argument. It requires the assumption that God is not necessary for all realities to prove that assumption.",['circular reasoning']
119,"Doctors should be banned from performing genital reshaping surgery on intersex infants.Hence, it is true that Genital reshaping surgeries on intersex infants are unnecessary as they encourage conforming to outdated and binary ideas of gender.",['circular reasoning']
922,"Gary Habermas, in a survey of 3,400 sources surrounding the undergirding facts of Jesus life found 12 facts to be considered historical by the majority of scholars. They include: Jesus died by crucifixion.He was buried.His death caused the disciples to despair and lose hope.The tomb was empty \(the most contested\).The disciples had experiences which they believed were literal appearances of the risen Jesus,The disciples were transformed from doubters to bold proclaimers.Hence, it is not true that Cherry-picking from theists while ignoring skeptics and agnostics can't be called ""the majority of scholars"".",['intentional']
210,"The aspect of their character that over-shadows any other aspect is their commitment to slavery since it was central to everything else that they are known for.Hence, it is not true that This is a logical fallacy- argumentum ad populum.",['ad populum']
509,"Dawkins could have used any example to illustrate this point, but he chose one that directly disregards the shared traumatic experience of millions of people.Hence, it is not true that The point of this series of tweets is to expose people's sense of logic when faced with a strong emotional response.",['appeal to emotion']
523,"A carbon tax places a higher burden on those with lower incomes.Hence, it is not true that Wealthier households will be disproportionately impacted.",['faulty generalization']
996,"God as an explanation does not explain anything.Hence, it is not true that God can explain everything as He is the only omniscient being in the Universe and outside of it. Problem is, there are a many things that we could not comprehend because of our limitations. An honest person will acknowledge that men will never be able to comprehend more that is enabled to comprehend. And infinity, eternity, unlimited knowledge and understanding, unlimited power, etc. are abilities that humans can never achieve, precisely because of our limitations.",['circular reasoning']
266,"Capitalism promotes a concept called ""creative destruction"", which is a process of industrial mutation that continuously revolutionizes the economic structure from within, incessantly destroying the old one, incessantly creating a new one. In another word, innovation.Hence, it is not true that What is being destroyed alongside this supposed process is lives, the environment, people's ways of life, dignity and solidarity.",['fallacy of credibility']
570,"Health care cannot be declared a human right because this forces others to provide people with health care through their labor.Hence, it is true that Society shouldn't be responsible for paying for other individual's poor health or choices.",['faulty generalization']
1074,"Believing in science does not mean having blind faith it means you can have faith that something will occur knowing that the evidence suggests the outcome.Hence, it is not true that Invoking trust in individuals reduces the argument to personally-derived science claims which are often terrible(Your internal models of physics are inaccurate. Probably very inaccurate for anything you're not intimately familiar with). The rest of the claims in this discussion regard science as a body of human-compiled and shared knowledge where we assume consensus is trustworthy.",['fallacy of extension']
129,"The Book of Mormon contains anachronisms.Hence, it is true that The Book of Mormon mentions items and technologies that archaeologists have never found in the book's purported place and time frame.",['false causality']
279,"The economic situation had improved significantly for the majority of the population.Hence, it is true that Globalization allowed for much better trade and capital movement.",['fallacy of logic']
522,"The ad assumes negative behaviors featured in the video are an endemic social problem.Hence, it is not true that The behaviors were significant enough for a major organization \(Gillette\) to address them in an advertisement.",['fallacy of credibility']
81,"Violent video games normalize and desensitize(New research has found exposure to violent video games can desensitize individuals to real-life violence. According to the investigators, this is first documented finding that video-games can alter physiological responses typically aroused by real violence.) people to violence, which make it more socially acceptable to act aggressively.Hence, it is true that Of the ten best-selling video games in the US during 2017, six have an exclusive focus on violence and killing.",['faulty generalization']
1057,"The obstacles that Google will face when operating in China may negatively affect the company’s valuation.Hence, it is true that Chinese users prefer Wechat to Facebook, because the former is a Chinese rather than a foreign owned company. Similarly, Chinese customers prefer Alibaba to Amazon.",['circular reasoning']
1125,"Appeals to tradition make the Supreme Court more democratic.Hence, it is true that Appeals to tradition are equivalent to appeals to what is important to the American people.",['fallacy of credibility']
469,"It should not be left to lawmakers to decide which disabilities classify as legal or illegal to abort.Hence, it is true that Thin end of the wedge. Once aborting disabled children becomes the 'norm', there is no telling what other legalised abortions it could lead to.",['faulty generalization']
178,"The gospels meet all reasonable expectations for reliability.Hence, it is not true that The gospels contain information the gospel writers very likely could not have had, such as what was said at Jesus' trial.",['circular reasoning']
1196,"Men should be able to vote in the abortion debate.Hence, it is true that Every person, despite their gender, should be able to give their opinion about something that concerns the whole society.",['ad hominem']
620,"Revelation through faithful practices, religious experiences, and testimony support the existence of God.Hence, it is true that The teachings of prophets provide credence to the idea that God exists.",['circular reasoning']
814,"Detriment to the well-being of those around us could have negative consequences to our own well-being.Hence, it is true that Immoral actions usually are also illegal actions, which normally lead to fines or even jail time, therefore unhappiness.",['circular reasoning']
526,"Almost all major faiths offer complex and sophisticated arguments about why life exists after death.Hence, it is true that These arguments are believed by billions of people across the world, and have been throughout human history.",['ad populum']
579,"People do not pay taxes voluntarily. If forcing people to pay something is amoral for an individual, it should be considered as amoral for the government, too.Hence, it is not true that People agree on a social contract by using government resources, which allows the government to tax them. These taxes can be used for welfare.",['circular reasoning']
1181,"Violating the law entails detrimental costs to society.Hence, it is not true that There is no connection between the financial cost of crime and the punishment that criminals face. There is thus no reason to make the decision whether or not to disenfranchise ex-felons on the basis of considerations of cost.",['fallacy of credibility']
815,"Biden will not actually make America a communist country. Trump tends to use the word ""communist"" incorrectly.Hence, it is true that Trump and many Conservative outlets use ""communist"" as a meaningless and self inconsistent buzzword, designed as a sort of bogeyman. That definition does not in any way match the technical correct definition of the word.",['ad hominem']
677,"The complexity and precision found in nature and in living organisms indicate God's existence as the creator of all things.Hence, it is true that Life in our universe would be impossible if any of a number of laws, constants, and initial conditions were changed even unimaginably slightly. This implies the strong probability that the universe was created for the purpose of harboring life \(fine tuning\).",['false causality']
111,"Misogynistic and anti-feminist art is not only possible, but common.Hence, it is not true that The fact that misogynist art is common does not render those art forms inherently misogynist.",['faulty generalization']
468,"Keep the Table as it is.Hence, it is not true that It currently displays information in a system that isn't the one that is common to the OGS site. Leading into a UX problem",['fallacy of logic']
982,"All Caused Things must have a Cause. Since an eternal regression of causes requires that the sum of all existence, as a whole, to be uncaused, and a finite regression of causes requires that the start of the regression be uncaused, it is necessary that an uncaused cause exists.Hence, it is not true that From observations about causality in the universe, an object or agent has two options in becoming a cause:",['false dilemma']
14,"In Daenerys' vision Rhaegar Targaryen describes the story of the Prince that was Promised as ""The Song of Ice and Fire"". This does not fit Daenerys.Hence, it is not true that Rhaegar's words are of dubious value as they were probably more driven by wishful thinking than actual insight.",['appeal to emotion']
214,"These books are often taught in public schools. They are not being hidden away.Hence, it is not true that A trend of banning or editing history books, popular books, and oral traditions has already emerged.",['faulty generalization']
850,"There has only ever been one amendment to the US Constitution which limits terms since it came into power in 1789.Hence, it is not true that The 22nd Amendment was passed despite significant opposition, taking 4 years to gain enough states to ratify the amendment. Harry Truman, who was President at the time, called it ""one of the worst that has been put into the Constitution"". This demonstrates that even amendments which limit terms, that seem unlikely to pass at the time, can, and have done so.",['faulty generalization']
